module,GO_BP_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway,9_Level_Pathway,10_Level_Pathway,11_Level_Pathway
M1_cpdb_446,GO:0007601,biological_process,multicellular organismal process,system process,nervous system process,sensory perception,sensory perception of light stimulus,,,,,,
M1_cpdb_455,GO:0043490,biological_process,cellular process,metabolic process,"primary metabolic process, purine-containing compound metabolic process, small molecule metabolic process, pyridine-containing compound metabolic process, phosphorus metabolic process","nucleobase-containing compound metabolic process, phosphate-containing compound metabolic process, pyridine nucleotide metabolic process, organophosphate metabolic process, nucleobase-containing small molecule metabolic process, purine nucleotide metabolic process","nicotinamide nucleotide metabolic process, NAD metabolic process, nucleoside phosphate metabolic process, NADH metabolic process","nucleotide metabolic process, NADH oxidation",,,,,
M1_cpdb_456,GO:0034975,biological_process,cellular process,protein folding,,,,,,,,,
M1_cpdb_457,GO:0042274,biological_process,cellular process,cellular component organization or biogenesis,cellular component biogenesis,ribonucleoprotein complex biogenesis,,,,,,,
M1_cpdb_466,GO:0019646,biological_process,cellular process,metabolic process,generation of precursor metabolites and energy,"energy derivation by oxidation of organic compounds, electron transport chain","cellular respiration, respiratory electron transport chain",aerobic respiration,,,,,
M1_cpdb_468,GO:0140916,biological_process,"localization, cellular process","transmembrane transport, cellular localization, establishment of localization","monoatomic ion transmembrane transport, intracellular transport, inorganic ion transmembrane transport, transport, vacuolar transmembrane transport, establishment of localization in cell","inorganic cation transmembrane transport, vacuolar transport, monoatomic cation transmembrane transport, monoatomic ion transport","lysosomal transport, monoatomic cation transport, zinc ion transmembrane transport","zinc ion import into organelle, metal ion transport",transition metal ion transport,zinc ion transport,,,
M1_cpdb_470,GO:0046785,biological_process,cellular process,"cellular component organization or biogenesis, microtubule-based process","cellular component organization, microtubule cytoskeleton organization","protein-containing complex organization, microtubule polymerization or depolymerization, organelle organization, cellular component assembly, supramolecular fiber organization","protein-containing complex assembly, cytoskeleton organization",protein polymerization,,,,,
M1_cpdb_471,GO:0032880,biological_process,biological regulation,regulation of biological process,"regulation of localization, regulation of cellular process",regulation of cellular localization,,,,,,,
M1_cpdb_475,GO:0007214,biological_process,"cellular process, biological regulation","regulation of biological process, cell communication","signaling, cell-cell signaling",,,,,,,,
M1_cpdb_479,GO:0006260,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process",DNA metabolic process,,,,,,
M1_cpdb_480,GO:1904668,biological_process,biological regulation,"regulation of biological process, regulation of molecular function","regulation of cellular process, regulation of catalytic activity, positive regulation of biological process, positive regulation of molecular function","positive regulation of cellular process, positive regulation of catalytic activity, regulation of transferase activity, regulation of metabolic process","regulation of primary metabolic process, positive regulation of transferase activity, regulation of macromolecule metabolic process, positive regulation of metabolic process, regulation of ubiquitin-protein transferase activity","positive regulation of macromolecule metabolic process, regulation of protein metabolic process, regulation of ubiquitin protein ligase activity, positive regulation of ubiquitin-protein transferase activity","regulation of protein modification process, positive regulation of protein metabolic process","regulation of post-translational protein modification, positive regulation of protein modification process","regulation of protein modification by small protein conjugation or removal, positive regulation of post-translational protein modification","positive regulation of protein modification by small protein conjugation or removal, regulation of protein ubiquitination",positive regulation of protein ubiquitination
M1_cpdb_481,GO:0043433,biological_process,biological regulation,"regulation of biological process, regulation of molecular function","regulation of cellular process, regulation of DNA-binding transcription factor activity, negative regulation of molecular function",regulation of metabolic process,"regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process","regulation of macromolecule biosynthetic process, regulation of RNA metabolic process, regulation of nucleobase-containing compound metabolic process","regulation of gene expression, regulation of RNA biosynthetic process",regulation of DNA-templated transcription,,,
M1_cpdb_482,GO:0006891,biological_process,"localization, cellular process","vesicle-mediated transport, establishment of localization","transport, Golgi vesicle transport",,,,,,,,
M1_cpdb_486,GO:0048013,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",enzyme-linked receptor protein signaling pathway,cell surface receptor protein tyrosine kinase signaling pathway,,,,,,
M1_cpdb_488,GO:0006003,biological_process,cellular process,metabolic process,"carbohydrate derivative metabolic process, phosphorus metabolic process","organophosphate metabolic process, phosphate-containing compound metabolic process",,,,,,,
M1_cpdb_496,GO:0022618,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"protein-containing complex organization, cellular component assembly","protein-RNA complex organization, protein-containing complex assembly",,,,,,
M1_cpdb_498,GO:0042791,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process, nucleobase-containing compound biosynthetic process, macromolecule biosynthetic process","RNA metabolic process, nucleic acid biosynthetic process","RNA biosynthetic process, rRNA metabolic process","DNA-templated transcription, rRNA transcription",transcription by RNA polymerase III,,,
M1_cpdb_500,GO:1905821,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process","regulation of cellular component organization, positive regulation of cellular process","regulation of organelle organization, positive regulation of cellular component organization","positive regulation of organelle organization, regulation of chromosome organization","positive regulation of chromosome organization, regulation of chromosome condensation",,,,
M1_cpdb_512,GO:0006657,biological_process,cellular process,metabolic process,"primary metabolic process, phosphorus metabolic process, biosynthetic process","lipid biosynthetic process, phosphate-containing compound metabolic process, organophosphate metabolic process, lipid metabolic process, organophosphate biosynthetic process","glycerolipid metabolic process, phospholipid metabolic process, phospholipid biosynthetic process, glycerolipid biosynthetic process","glycerophospholipid metabolic process, glycerophospholipid biosynthetic process","phosphatidylcholine metabolic process, phosphatidylcholine biosynthetic process",,,,
M1_cpdb_518,GO:0060070,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",Wnt signaling pathway,,,,,,,
M1_cpdb_519,GO:0001558,biological_process,biological regulation,regulation of biological process,"regulation of growth, regulation of cellular process",regulation of cellular component organization,,,,,,,
M1_cpdb_522,GO:0006086,biological_process,cellular process,metabolic process,"primary metabolic process, purine-containing compound metabolic process, biosynthetic process, small molecule metabolic process, phosphorus metabolic process, amide metabolic process, sulfur compound metabolic process","thioester metabolic process, acyl-CoA metabolic process, purine-containing compound biosynthetic process, nucleobase-containing compound metabolic process, phosphate-containing compound metabolic process, organic acid metabolic process, sulfur compound biosynthetic process, nucleobase-containing compound biosynthetic process, organophosphate metabolic process, nucleobase-containing small molecule metabolic process, amide biosynthetic process, organophosphate biosynthetic process","acyl-CoA biosynthetic process, acetyl-CoA metabolic process, oxoacid metabolic process, nucleoside phosphate metabolic process, thioester biosynthetic process, nucleoside phosphate biosynthetic process","acetyl-CoA biosynthetic process, carboxylic acid metabolic process",monocarboxylic acid metabolic process,pyruvate metabolic process,,,
M1_cpdb_528,GO:0006368,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process, nucleobase-containing compound biosynthetic process, macromolecule biosynthetic process","RNA metabolic process, nucleic acid biosynthetic process",RNA biosynthetic process,DNA-templated transcription elongation,,,,
M1_cpdb_537,GO:0006406,biological_process,"localization, cellular process","cellular localization, establishment of localization","establishment of RNA localization, intracellular transport, transport, establishment of localization in cell","nuclear transport, RNA transport, nitrogen compound transport","nucleocytoplasmic transport, nucleobase-containing compound transport, mRNA transport, RNA export from nucleus","nuclear export, nucleic acid transport",,,,,
M1_cpdb_538,GO:0000184,biological_process,"cellular process, biological regulation","regulation of biological process, metabolic process","primary metabolic process, regulation of cellular process, catabolic process, negative regulation of biological process, macromolecule metabolic process","nucleobase-containing compound metabolic process, macromolecule catabolic process, nucleic acid metabolic process, negative regulation of cellular process, nucleobase-containing compound catabolic process, regulation of metabolic process","nucleic acid catabolic process, regulation of macromolecule metabolic process, RNA metabolic process, negative regulation of metabolic process, regulation of biosynthetic process","negative regulation of biosynthetic process, mRNA metabolic process, RNA catabolic process, negative regulation of macromolecule metabolic process, regulation of macromolecule biosynthetic process","negative regulation of macromolecule biosynthetic process, regulation of gene expression, mRNA catabolic process","nuclear-transcribed mRNA catabolic process, negative regulation of gene expression",,,
M1_cpdb_539,GO:0048026,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process","positive regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process, positive regulation of metabolic process","positive regulation of biosynthetic process, regulation of nucleobase-containing compound metabolic process, regulation of RNA splicing, regulation of RNA metabolic process, regulation of macromolecule biosynthetic process, positive regulation of nucleobase-containing compound metabolic process, positive regulation of macromolecule metabolic process","regulation of mRNA metabolic process, regulation of gene expression, positive regulation of RNA splicing, positive regulation of macromolecule biosynthetic process, regulation of mRNA splicing, via spliceosome, positive regulation of RNA metabolic process","positive regulation of mRNA metabolic process, regulation of mRNA processing, positive regulation of gene expression",positive regulation of mRNA processing,,
M1_cpdb_541,GO:0000387,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"protein-containing complex organization, cellular component assembly","protein-RNA complex organization, protein-containing complex assembly",protein-RNA complex assembly,,,,,
M1_cpdb_542,GO:0030490,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process, RNA processing","RNA metabolic process, rRNA processing",rRNA metabolic process,,,,,
M1_cpdb_545,GO:0006783,biological_process,cellular process,metabolic process,"tetrapyrrole metabolic process, biosynthetic process, pigment metabolic process","porphyrin-containing compound metabolic process, heme metabolic process, tetrapyrrole biosynthetic process, pigment biosynthetic process",porphyrin-containing compound biosynthetic process,,,,,,
M1_cpdb_546,GO:0006561,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, small molecule metabolic process","small molecule biosynthetic process, amino acid metabolic process, amino acid biosynthetic process, organic acid metabolic process","alpha-amino acid biosynthetic process, oxoacid metabolic process, organic acid biosynthetic process, proteinogenic amino acid metabolic process, alpha-amino acid metabolic process","carboxylic acid biosynthetic process, proteinogenic amino acid biosynthetic process, glutamine family amino acid metabolic process, L-amino acid biosynthetic process, L-amino acid metabolic process, carboxylic acid metabolic process","proline metabolic process, glutamine family amino acid biosynthetic process",,,,
M1_cpdb_556,GO:0006749,biological_process,cellular process,metabolic process,"amide metabolic process, sulfur compound metabolic process, modified amino acid metabolic process",,,,,,,,
M1_cpdb_558,GO:0016064,biological_process,"response to stimulus, immune system process","immune response, immune effector process","leukocyte mediated immunity, adaptive immune response","lymphocyte mediated immunity, adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",B cell mediated immunity,,,,,,
M1_cpdb_559,GO:2000781,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process, regulation of response to stimulus","positive regulation of response to stimulus, regulation of cellular response to stress, regulation of metabolic process, positive regulation of cellular process, regulation of response to stress","regulation of primary metabolic process, regulation of macromolecule metabolic process, positive regulation of metabolic process, regulation of DNA repair, positive regulation of DNA repair","regulation of DNA metabolic process, regulation of double-strand break repair, regulation of nucleobase-containing compound metabolic process, positive regulation of nucleobase-containing compound metabolic process, positive regulation of macromolecule metabolic process",positive regulation of DNA metabolic process,,,,
M1_cpdb_560,GO:0016973,biological_process,"localization, cellular process","cellular localization, establishment of localization","establishment of RNA localization, intracellular transport, transport, establishment of localization in cell","nuclear transport, RNA transport, nitrogen compound transport","nucleocytoplasmic transport, nucleobase-containing compound transport, mRNA transport, RNA export from nucleus","mRNA export from nucleus, nuclear export, nucleic acid transport",,,,,
M1_cpdb_562,GO:0030388,biological_process,cellular process,metabolic process,"carbohydrate derivative metabolic process, phosphorus metabolic process","organophosphate metabolic process, phosphate-containing compound metabolic process",,,,,,,
M1_cpdb_568,GO:0051664,biological_process,"localization, cellular process","cellular component organization or biogenesis, cellular localization, protein-containing complex localization","localization within membrane, cellular component organization",organelle organization,nucleus organization,,,,,,
M1_cpdb_580,GO:0006120,biological_process,cellular process,metabolic process,generation of precursor metabolites and energy,"energy derivation by oxidation of organic compounds, electron transport chain","cellular respiration, respiratory electron transport chain","aerobic electron transport chain, aerobic respiration",,,,,
M1_cpdb_585,GO:0006413,biological_process,cellular process,metabolic process,,,,,,,,,
M1_cpdb_591,GO:0030261,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,chromosome organization,,,,,,
M1_cpdb_592,GO:0022613,biological_process,cellular process,cellular component organization or biogenesis,cellular component biogenesis,,,,,,,,
M1_cpdb_604,GO:0048014,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",enzyme-linked receptor protein signaling pathway,cell surface receptor protein tyrosine kinase signaling pathway,,,,,,
M1_cpdb_614,GO:0045657,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, regulation of immune system process, regulation of multicellular organismal process, positive regulation of biological process, regulation of developmental process","positive regulation of developmental process, regulation of hemopoiesis, regulation of cell differentiation, regulation of multicellular organismal development, positive regulation of immune system process, positive regulation of multicellular organismal process, positive regulation of cellular process","regulation of leukocyte differentiation, regulation of myeloid cell differentiation, regulation of cell development, positive regulation of hemopoiesis, positive regulation of cell differentiation","positive regulation of leukocyte differentiation, positive regulation of cell development, regulation of myeloid leukocyte differentiation, positive regulation of myeloid cell differentiation","regulation of monocyte differentiation, positive regulation of myeloid leukocyte differentiation",,,,
M1_cpdb_632,GO:1902857,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process","regulation of cellular component biogenesis, regulation of cellular component organization, positive regulation of cellular process","positive regulation of cellular component biogenesis, regulation of cell projection assembly, regulation of organelle organization, regulation of cell projection organization, regulation of organelle assembly, positive regulation of cellular component organization","regulation of plasma membrane bounded cell projection organization, positive regulation of plasma membrane bounded cell projection assembly, positive regulation of organelle organization, positive regulation of organelle assembly, regulation of plasma membrane bounded cell projection assembly, positive regulation of cell projection organization, regulation of cilium assembly","regulation of non-motile cilium assembly, positive regulation of cilium assembly",,,,
M1_cpdb_642,GO:0001582,biological_process,response to stimulus,detection of stimulus,"detection of stimulus involved in sensory perception, detection of chemical stimulus",detection of chemical stimulus involved in sensory perception,detection of chemical stimulus involved in sensory perception of taste,,,,,,
M1_cpdb_645,GO:0045116,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","macromolecule modification, protein metabolic process",protein modification process,post-translational protein modification,protein modification by small protein conjugation or removal,protein modification by small protein conjugation,,,
M1_cpdb_647,GO:0071320,biological_process,"response to stimulus, cellular process","response to chemical, cellular response to stimulus","response to organophosphorus, response to nitrogen compound, response to oxygen-containing compound, cellular response to chemical stimulus","cellular response to oxygen-containing compound, response to cAMP, response to purine-containing compound, cellular response to nitrogen compound",,,,,,,
M1_cpdb_656,GO:0030213,biological_process,cellular process,metabolic process,"carbohydrate derivative metabolic process, biosynthetic process, macromolecule metabolic process","aminoglycan metabolic process, carbohydrate derivative biosynthetic process, macromolecule biosynthetic process","aminoglycan biosynthetic process, glycosaminoglycan metabolic process","hyaluronan metabolic process, glycosaminoglycan biosynthetic process",,,,,
M1_cpdb_657,GO:0002933,biological_process,cellular process,metabolic process,primary metabolic process,lipid metabolic process,lipid modification,,,,,,
M1_cpdb_659,GO:0044278,biological_process,biological process involved in interspecies interaction between organisms,disruption of anatomical structure in another organism,disruption of cellular anatomical structure in another organism,,,,,,,,
M1_cpdb_661,GO:0035723,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",cytokine-mediated signaling pathway,,,,,,,
M1_humanbase_1,GO:0009615,biological_process,"response to stimulus, biological process involved in interspecies interaction between organisms","response to biotic stimulus, response to external stimulus, response to other organism",response to external biotic stimulus,,,,,,,,
M1_humanbase_2,GO:0006119,biological_process,cellular process,metabolic process,generation of precursor metabolites and energy,energy derivation by oxidation of organic compounds,cellular respiration,aerobic respiration,,,,,
M1_humanbase_3,GO:0022613,biological_process,cellular process,cellular component organization or biogenesis,cellular component biogenesis,,,,,,,,
M1_humanbase_4,GO:0000070,biological_process,cellular process,"cell cycle process, cellular component organization or biogenesis","cellular component organization, mitotic cell cycle process, chromosome segregation","organelle organization, nuclear chromosome segregation","chromosome organization, sister chromatid segregation",,,,,,
M1_humanbase_5,GO:0000727,biological_process,"response to stimulus, cellular process","metabolic process, cellular response to stimulus, response to stress","cellular response to stress, primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, DNA damage response, nucleobase-containing compound metabolic process","DNA metabolic process, DNA repair","recombinational repair, double-strand break repair, DNA recombination",double-strand break repair via homologous recombination,,,,
M1_humanbase_7,GO:0022613,biological_process,cellular process,cellular component organization or biogenesis,cellular component biogenesis,,,,,,,,
M1_humanbase_8,GO:0036261,biological_process,cellular process,metabolic process,"primary metabolic process, methylation, macromolecule metabolic process","nucleobase-containing compound metabolic process, nucleic acid metabolic process, RNA processing, macromolecule modification, macromolecule methylation","RNA metabolic process, RNA methylation, RNA modification, RNA 5'-end processing",RNA capping,,,,,
M1_humanbase_9,GO:0002181,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process, macromolecule metabolic process","macromolecule biosynthetic process, protein metabolic process",translation,,,,,,
M1_humanbase_10,GO:0038066,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","regulation of cellular process, intracellular signal transduction",intracellular signaling cassette,MAPK cascade,,,,,,
M1_humanbase_11,GO:0034975,biological_process,cellular process,protein folding,,,,,,,,,
M1_humanbase_13,GO:0008380,biological_process,cellular process,metabolic process,primary metabolic process,RNA processing,,,,,,,
M1_humanbase_14,GO:0006418,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process, amino acid metabolic process","RNA metabolic process, amino acid activation","tRNA metabolic process, tRNA aminoacylation",,,,,
M1_humanbase_15,GO:0051607,biological_process,"response to stimulus, biological process involved in interspecies interaction between organisms","response to biotic stimulus, response to other organism, response to external stimulus, response to stress","response to external biotic stimulus, response to virus, defense response to other organism, defense response",,,,,,,,
M1_humanbase_16,GO:0006096,biological_process,cellular process,metabolic process,"primary metabolic process, purine-containing compound metabolic process, catabolic process, small molecule metabolic process, generation of precursor metabolites and energy, pyridine-containing compound metabolic process, carbohydrate derivative metabolic process, phosphorus metabolic process","organophosphate catabolic process, ribose phosphate metabolic process, nucleobase-containing compound metabolic process, carbohydrate metabolic process, phosphate-containing compound metabolic process, organic acid metabolic process, pyridine nucleotide metabolic process, nucleobase-containing compound catabolic process, organophosphate metabolic process, carbohydrate catabolic process, nucleobase-containing small molecule metabolic process, pyridine-containing compound catabolic process, purine-containing compound catabolic process, purine nucleotide metabolic process, carbohydrate derivative catabolic process","nucleoside phosphate catabolic process, nicotinamide nucleotide metabolic process, ribonucleotide metabolic process, oxoacid metabolic process, pyridine nucleotide catabolic process, nucleoside phosphate metabolic process, purine nucleotide catabolic process, ribonucleotide catabolic process, purine ribonucleotide metabolic process","ATP metabolic process, nucleotide metabolic process, purine ribonucleotide catabolic process, nucleoside diphosphate catabolic process, nucleoside triphosphate metabolic process, nucleoside diphosphate metabolic process, nucleotide catabolic process, carboxylic acid metabolic process, ADP metabolic process","monocarboxylic acid metabolic process, purine nucleoside diphosphate catabolic process, ribonucleoside triphosphate metabolic process, ribonucleoside diphosphate metabolic process, ribonucleoside diphosphate catabolic process, ADP catabolic process, purine nucleoside triphosphate metabolic process, purine nucleoside diphosphate metabolic process","purine ribonucleoside diphosphate metabolic process, pyruvate metabolic process, purine ribonucleoside triphosphate metabolic process, purine ribonucleoside diphosphate catabolic process",,,
M1_humanbase_17,GO:1900225,biological_process,biological regulation,regulation of biological process,regulation of cellular process,"regulation of cellular component biogenesis, regulation of cellular component organization",regulation of protein-containing complex assembly,,,,,,
M1_humanbase_18,GO:0016126,biological_process,cellular process,metabolic process,"primary metabolic process, biosynthetic process","lipid metabolic process, lipid biosynthetic process","steroid biosynthetic process, steroid metabolic process",sterol metabolic process,,,,,
M1_humanbase_20,GO:0006457,biological_process,cellular process,,,,,,,,,,
M1_humanbase_21,GO:0000375,biological_process,cellular process,metabolic process,primary metabolic process,RNA processing,RNA splicing,,,,,,
M1_humanbase_24,GO:0007249,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","regulation of cellular process, intracellular signal transduction",intracellular signaling cassette,,,,,,,
M1_humanbase_25,GO:0007035,biological_process,"homeostatic process, biological regulation","regulation of pH, cellular homeostasis, chemical homeostasis, regulation of biological quality","monoatomic ion homeostasis, regulation of cellular pH, intracellular chemical homeostasis, regulation of intracellular pH","monoatomic cation homeostasis, intracellular pH reduction, intracellular monoatomic ion homeostasis",intracellular monoatomic cation homeostasis,,,,,,
M1_humanbase_28,GO:0045197,biological_process,cellular process,establishment or maintenance of cell polarity,establishment or maintenance of bipolar cell polarity,establishment or maintenance of apical/basal cell polarity,,,,,,,
M1_humanbase_31,GO:0034085,biological_process,cellular process,cell cycle process,,,,,,,,,
M1_humanbase_34,GO:0038094,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","regulation of cellular process, cell surface receptor signaling pathway, regulation of immune system process, immune response-regulating signaling pathway, regulation of response to stimulus","regulation of immune response, immune response-regulating cell surface receptor signaling pathway",Fc receptor signaling pathway,,,,,,
M1_humanbase_35,GO:0030036,biological_process,cellular process,"cellular component organization or biogenesis, actin filament-based process",cellular component organization,organelle organization,cytoskeleton organization,,,,,,
M1_humanbase_39,GO:0002399,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"protein-containing complex organization, cellular component assembly",protein-containing complex assembly,MHC protein complex assembly,,,,,
M1_humanbase_40,GO:0010273,biological_process,detoxification,detoxification of inorganic compound,,,,,,,,,
M1_humanbase_41,GO:0006099,biological_process,cellular process,metabolic process,primary metabolic process,,,,,,,,
M1_humanbase_44,GO:0031145,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process, catabolic process","macromolecule catabolic process, protein metabolic process","proteolysis, protein catabolic process, modification-dependent macromolecule catabolic process","proteasomal protein catabolic process, modification-dependent protein catabolic process, proteolysis involved in protein catabolic process","ubiquitin-dependent protein catabolic process, proteasome-mediated ubiquitin-dependent protein catabolic process",,,,
M1_humanbase_45,GO:0051607,biological_process,"response to stimulus, biological process involved in interspecies interaction between organisms","response to biotic stimulus, response to other organism, response to external stimulus, response to stress","response to external biotic stimulus, response to virus, defense response to other organism, defense response",,,,,,,,
M1_humanbase_47,GO:1900246,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, regulation of immune system process, positive regulation of biological process, regulation of response to stimulus, regulation of signaling","positive regulation of signaling, positive regulation of response to stimulus, regulation of response to external stimulus, regulation of immune response, regulation of response to biotic stimulus, regulation of cell communication, positive regulation of immune system process, regulation of signal transduction, positive regulation of cellular process, regulation of response to stress","regulation of defense response, regulation of intracellular signal transduction, positive regulation of cell communication, positive regulation of immune response, regulation of innate immune response, positive regulation of response to external stimulus, positive regulation of response to biotic stimulus, regulation of pattern recognition receptor signaling pathway, positive regulation of signal transduction, positive regulation of defense response","positive regulation of pattern recognition receptor signaling pathway, positive regulation of innate immune response, regulation of cytoplasmic pattern recognition receptor signaling pathway, positive regulation of intracellular signal transduction",regulation of RIG-I signaling pathway,,,,
M1_humanbase_51,GO:0048024,biological_process,biological regulation,regulation of biological process,regulation of cellular process,regulation of metabolic process,"regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process","regulation of macromolecule biosynthetic process, regulation of RNA metabolic process, regulation of nucleobase-containing compound metabolic process, regulation of RNA splicing","regulation of mRNA metabolic process, regulation of gene expression",regulation of mRNA processing,,,
M1_humanbase_53,GO:0008625,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process, apoptotic signaling pathway",extrinsic apoptotic signaling pathway,,,,,,,
M1_humanbase_57,GO:0035694,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process, catabolic process","macromolecule catabolic process, protein metabolic process",protein catabolic process,,,,,,
M1_humanbase_72,GO:0070098,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process, G protein-coupled receptor signaling pathway",cytokine-mediated signaling pathway,,,,,,,
M1_humanbase_83,GO:0030422,biological_process,cellular process,metabolic process,primary metabolic process,RNA processing,regulatory ncRNA processing,,,,,,
M1_humanbase_91,GO:0016567,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","macromolecule modification, protein metabolic process",protein modification process,post-translational protein modification,protein modification by small protein conjugation or removal,protein modification by small protein conjugation,,,
M1_humanbase_98,GO:0036297,biological_process,"response to stimulus, cellular process","metabolic process, cellular response to stimulus, response to stress","cellular response to stress, primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, DNA damage response, nucleobase-containing compound metabolic process","DNA metabolic process, DNA repair",,,,,,
M1_humanbase_99,GO:0090303,biological_process,biological regulation,regulation of biological process,"positive regulation of biological process, regulation of response to stimulus","positive regulation of response to stimulus, regulation of response to stress","positive regulation of response to wounding, regulation of response to wounding",regulation of wound healing,,,,,
M1_humanbase_109,GO:0045116,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","macromolecule modification, protein metabolic process",protein modification process,post-translational protein modification,protein modification by small protein conjugation or removal,protein modification by small protein conjugation,,,
M1_humanbase_111,GO:0051017,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"cellular component assembly, supramolecular fiber organization",actin filament organization,actin filament bundle organization,,,,,
M1_humanbase_114,GO:0030968,biological_process,"response to stimulus, cellular process, biological regulation","signal transduction, regulation of biological process, cellular response to stimulus, response to stress","cellular response to stress, regulation of cellular process, intracellular signal transduction",response to endoplasmic reticulum stress,,,,,,,
M1_humanbase_120,GO:0006289,biological_process,"response to stimulus, cellular process","metabolic process, cellular response to stimulus, response to stress","cellular response to stress, primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, DNA damage response, nucleobase-containing compound metabolic process","DNA metabolic process, DNA repair",,,,,,
M1_humanbase_129,GO:0110104,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","nucleic acid metabolic process, nucleobase-containing compound metabolic process, RNA processing","RNA metabolic process, RNA 3'-end processing, mRNA processing","mRNA 3'-end processing, mRNA metabolic process",,,,,
M1_humanbase_143,GO:0032497,biological_process,response to stimulus,"response to biotic stimulus, detection of stimulus, response to chemical, response to external stimulus","detection of chemical stimulus, detection of biotic stimulus, response to oxygen-containing compound, response to lipid, response to external biotic stimulus","detection of external biotic stimulus, response to lipopolysaccharide, detection of molecule of bacterial origin, response to molecule of bacterial origin",,,,,,,
M1_humanbase_149,GO:0001836,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,organelle organization,mitochondrion organization,apoptotic mitochondrial changes,,,,,
M1_humanbase_155,GO:0071038,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process, catabolic process","macromolecule catabolic process, nucleic acid metabolic process, nucleobase-containing compound metabolic process, nucleobase-containing compound catabolic process","RNA metabolic process, nucleic acid catabolic process","tRNA metabolic process, RNA catabolic process","tRNA decay, RNA surveillance","tRNA surveillance, nuclear RNA surveillance",,,
M1_humanbase_161,GO:0071711,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"extracellular structure organization, external encapsulating structure organization",extracellular matrix organization,,,,,,
