module,REAC_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway
M1_string_107,R-HSA-4641265,Signal Transduction,Signaling by WNT,Degradation of beta-catenin by the destruction complex,Repression of WNT target genes,,,,,
M1_string_108,R-HSA-3214815,Chromatin organization,Chromatin modifying enzymes,HDACs deacetylate histones,,,,,,
M1_string_109,R-HSA-6811440,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Retrograde transport at the Trans-Golgi-Network,,,,,
M1_string_110,R-HSA-6807505,Gene expression (Transcription),RNA Polymerase II Transcription,RNA polymerase II transcribes snRNA genes,,,,,,
M1_string_111,R-HSA-1650814,Extracellular matrix organization,Collagen formation,Collagen biosynthesis and modifying enzymes,,,,,,
M1_string_112,R-HSA-5620924,Organelle biogenesis and maintenance,Cilium Assembly,Intraflagellar transport,,,,,,
M1_string_114,R-HSA-9690406,Developmental Biology,Transcriptional regulation of testis differentiation,,,,,,,
M1_string_115,R-HSA-77387,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by Insulin receptor,Insulin receptor recycling,,,,,
M1_string_116,R-HSA-525793,Developmental Biology,Myogenesis,,,,,,,
M1_string_117,R-HSA-3371599,Disease,Diseases of metabolism,Defects in vitamin and cofactor metabolism,Defects in biotin (Btn) metabolism,Defective HLCS causes multiple carboxylase deficiency,,,,
M1_string_121,R-HSA-8852135,Metabolism of proteins,Post-translational protein modification,Protein ubiquitination,,,,,,
M1_string_122,R-HSA-9709570,Disease,Diseases of DNA repair,Diseases of DNA Double-Strand Break Repair,Defective homologous recombination repair (HRR) due to BRCA2 loss of function,Impaired BRCA2 binding to RAD51,,,,
M1_string_124,R-HSA-451927,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-2 family signaling,,,,,
M1_string_125,R-HSA-71403,Metabolism,Aerobic respiration and respiratory electron transport,Citric acid cycle (TCA cycle),,,,,,
M1_string_126,R-HSA-73894,DNA Repair,,,,,,,,
M1_string_127,R-HSA-9617629,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,FOXO-mediated transcription,Regulation of FOXO transcriptional activity by acetylation,,,,
M1_string_128,R-HSA-2424491,Immune System,Innate Immune System,DAP12 interactions,DAP12 signaling,,,,,
M1_string_129,R-HSA-5663213,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases Activate WASPs and WAVEs,,,,
M1_string_130,R-HSA-76046,Gene expression (Transcription),RNA Polymerase III Transcription,RNA Polymerase III Transcription Initiation,,,,,,
M1_string_131,R-HSA-1268020,Protein localization,Mitochondrial protein import,,,,,,,
M1_string_132,R-HSA-9603798,Protein localization,Class I peroxisomal membrane protein import,,,,,,,
M1_string_133,R-HSA-9840310,Metabolism,Metabolism of lipids,Sphingolipid metabolism,Glycosphingolipid metabolism,Glycosphingolipid catabolism,,,,
M1_string_134,R-HSA-425407,Transport of small molecules,SLC-mediated transmembrane transport,,,,,,,
M1_string_135,R-HSA-5083625,Disease,Diseases of metabolism,Diseases of glycosylation,Diseases associated with O-glycosylation of proteins,Defective GALNT3 causes HFTC,,,,
M1_string_136,R-HSA-73776,Gene expression (Transcription),RNA Polymerase II Transcription,RNA Polymerase II Transcription Initiation And Promoter Clearance,RNA Polymerase II Promoter Escape,,,,,
M1_string_137,R-HSA-6811436,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Golgi-to-ER retrograde transport,COPI-independent Golgi-to-ER retrograde traffic,,,,
M1_string_138,R-HSA-159227,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,Transport of Mature Transcript to Cytoplasm,Transport of Mature mRNAs Derived from Intronless Transcripts,Transport of the SLBP independent Mature mRNA,,,,
M1_string_140,R-HSA-936837,Transport of small molecules,Ion channel transport,Ion transport by P-type ATPases,,,,,,
M1_string_141,R-HSA-390522,Muscle contraction,Striated Muscle Contraction,,,,,,,
M1_string_142,R-HSA-5676594,Immune System,Cytokine Signaling in Immune system,TNFR2 non-canonical NF-kB pathway,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway,,,,,
M1_string_143,R-HSA-112314,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,,,,,,
M1_string_144,R-HSA-202733,Hemostasis,Cell surface interactions at the vascular wall,,,,,,,
M1_string_145,R-HSA-9017802,Signal Transduction,Signaling by NOTCH,Signaling by NOTCH3,NOTCH3 Activation and Transmission of Signal to the Nucleus,Noncanonical activation of NOTCH3,,,,
M1_string_146,R-HSA-156902,Metabolism of proteins,Translation,Eukaryotic Translation Elongation,Peptide chain elongation,,,,,
M1_string_147,R-HSA-418594,Signal Transduction,Signaling by GPCR,GPCR downstream signalling,G alpha (i) signalling events,,,,,
M1_string_148,R-HSA-163210,Metabolism,Aerobic respiration and respiratory electron transport,Formation of ATP by chemiosmotic coupling,,,,,,
M1_string_149,R-HSA-111453,Programmed Cell Death,Apoptosis,Intrinsic Pathway for Apoptosis,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,,,,,
M1_string_150,R-HSA-446353,Cell-Cell communication,Cell junction organization,Cell-extracellular matrix interactions,,,,,,
M1_string_151,R-HSA-1480926,Transport of small molecules,O2/CO2 exchange in erythrocytes,,,,,,,
M1_string_153,R-HSA-75955,Gene expression (Transcription),RNA Polymerase II Transcription,RNA Polymerase II Transcription Elongation,,,,,,
M1_string_154,R-HSA-216083,Extracellular matrix organization,Integrin cell surface interactions,,,,,,,
M1_string_155,R-HSA-450321,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-17 signaling,MAP kinase activation,JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,,,
M1_string_156,R-HSA-430039,Metabolism of RNA,Deadenylation-dependent mRNA decay,mRNA decay by 5' to 3' exoribonuclease,,,,,,
M1_string_157,R-HSA-5620912,Organelle biogenesis and maintenance,Cilium Assembly,Anchoring of the basal body to the plasma membrane,,,,,,
M1_string_158,R-HSA-112126,DNA Repair,DNA Damage Reversal,Reversal of alkylation damage by DNA dioxygenases,ALKBH3 mediated reversal of alkylation damage,,,,,
M1_string_159,R-HSA-210991,Hemostasis,Cell surface interactions at the vascular wall,Basigin interactions,,,,,,
M1_string_161,R-HSA-428157,Metabolism,Metabolism of lipids,Sphingolipid metabolism,,,,,,
M1_string_162,R-HSA-5693565,DNA Repair,DNA Double-Strand Break Repair,DNA Double Strand Break Response,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,,,,,
M1_string_163,R-HSA-3214847,Chromatin organization,Chromatin modifying enzymes,HATs acetylate histones,,,,,,
M1_string_164,R-HSA-186763,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by PDGF,Downstream signal transduction,,,,,
M1_string_165,R-HSA-3928665,Developmental Biology,Nervous system development,Axon guidance,EPH-Ephrin signaling,EPH-ephrin mediated repulsion of cells,,,,
M1_string_166,R-HSA-390471,Metabolism of proteins,Protein folding,Chaperonin-mediated protein folding,Association of TriC/CCT with target proteins during biosynthesis,,,,,
M1_string_167,R-HSA-4641262,Signal Transduction,Signaling by WNT,TCF dependent signaling in response to WNT,Disassembly of the destruction complex and recruitment of AXIN to the membrane,,,,,
M1_string_168,R-HSA-5624138,Organelle biogenesis and maintenance,Cilium Assembly,Cargo trafficking to the periciliary membrane,Trafficking of myristoylated proteins to the cilium,,,,,
M1_string_169,R-HSA-9609523,Protein localization,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,,,,,,,
M1_string_170,R-HSA-3000157,Extracellular matrix organization,Laminin interactions,,,,,,,
M1_string_171,R-HSA-5601884,Gene expression (Transcription),Gene Silencing by RNA,PIWI-interacting RNA (piRNA) biogenesis,,,,,,
M1_string_172,R-HSA-9619483,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,Activation of NMDA receptors and postsynaptic events,Post NMDA receptor activation events,Activation of AMPK downstream of NMDARs,,,
M1_string_173,R-HSA-2173789,Signal Transduction,Signaling by TGFB family members,Signaling by TGF-beta Receptor Complex,TGF-beta receptor signaling activates SMADs,,,,,
M1_string_174,R-HSA-204174,Metabolism,Aerobic respiration and respiratory electron transport,Pyruvate metabolism,Regulation of pyruvate metabolism,Regulation of pyruvate dehydrogenase (PDH) complex,,,,
M1_string_175,R-HSA-140834,Hemostasis,Formation of Fibrin Clot (Clotting Cascade),Extrinsic Pathway of Fibrin Clot Formation,,,,,,
M1_string_176,R-HSA-913709,Metabolism of proteins,Post-translational protein modification,O-linked glycosylation,O-linked glycosylation of mucins,,,,,
M1_string_177,R-HSA-983168,Immune System,Adaptive Immune System,Class I MHC mediated antigen processing & presentation,Antigen processing: Ubiquitination & Proteasome degradation,,,,,
M1_string_178,R-HSA-8949613,Organelle biogenesis and maintenance,Mitochondrial biogenesis,Cristae formation,,,,,,
M1_string_179,R-HSA-191273,Metabolism,Metabolism of lipids,Metabolism of steroids,Cholesterol biosynthesis,,,,,
M1_string_181,R-HSA-110313,DNA Repair,DNA Damage Bypass,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,,,,,,
M1_string_182,R-HSA-8873719,Metabolism of proteins,Post-translational protein modification,RAB geranylgeranylation,,,,,,
M1_string_183,R-HSA-9010553,Developmental Biology,Nervous system development,Axon guidance,Signaling by ROBO receptors,Regulation of expression of SLITs and ROBOs,,,,
M1_string_184,R-HSA-1433617,Developmental Biology,Signaling by NODAL,Regulation of signaling by NODAL,,,,,,
M1_string_185,R-HSA-162710,Metabolism of proteins,Post-translational protein modification,Post-translational modification: synthesis of GPI-anchored proteins,Synthesis of glycosylphosphatidylinositol (GPI),,,,,
M1_string_188,R-HSA-432047,Transport of small molecules,Aquaporin-mediated transport,Passive transport by Aquaporins,,,,,,
M1_string_190,R-HSA-181429,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter release cycle,Serotonin Neurotransmitter Release Cycle,,,,,
M1_string_191,R-HSA-166665,Immune System,Innate Immune System,Complement cascade,Terminal pathway of complement,,,,,
M1_string_192,R-HSA-6794361,Neuronal System,Protein-protein interactions at synapses,Neurexins and neuroligins,,,,,,
M1_string_193,R-HSA-6794361,Neuronal System,Protein-protein interactions at synapses,Neurexins and neuroligins,,,,,,
M1_string_194,R-HSA-9639288,Cellular responses to stimuli,Cellular responses to stress,Cellular response to starvation,Amino acids regulate mTORC1,,,,,
M1_string_195,R-HSA-9759218,Metabolism,Metabolism of vitamins and cofactors,Metabolism of water-soluble vitamins and cofactors,"Cobalamin (Cbl, vitamin B12) transport and metabolism",Cobalamin (Cbl) metabolism,,,,
M1_string_196,R-HSA-6784531,Metabolism of RNA,tRNA processing,tRNA processing in the nucleus,,,,,,
M1_string_197,R-HSA-1296072,Neuronal System,Potassium Channels,Voltage gated Potassium channels,,,,,,
M1_string_198,R-HSA-8873719,Metabolism of proteins,Post-translational protein modification,RAB geranylgeranylation,,,,,,
M1_string_199,R-HSA-381119,Cellular responses to stimuli,Cellular responses to stress,Unfolded Protein Response (UPR),,,,,,
M1_string_200,R-HSA-4641263,Signal Transduction,Signaling by WNT,TCF dependent signaling in response to WNT,Regulation of FZD by ubiquitination,,,,,
M1_string_202,R-HSA-1679131,Immune System,Innate Immune System,Toll-like Receptor Cascades,Trafficking and processing of endosomal TLR,,,,,
M1_string_205,R-HSA-8847993,Signal Transduction,Signaling by Non-Receptor Tyrosine Kinases,Signaling by PTK6,ERBB2 Activates PTK6 Signaling,,,,,
M1_string_206,R-HSA-9754560,Disease,Infectious disease,Viral Infection Pathways,SARS-CoV Infections,SARS-CoV-2 Infection,SARS-CoV-2-host interactions,SARS-CoV-2 modulates autophagy,,
M1_string_207,R-HSA-9013106,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,RHOC GTPase cycle,,,,
M1_string_209,R-HSA-373076,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),,,,,
M1_string_210,R-HSA-1462054,Immune System,Innate Immune System,Antimicrobial peptides,Defensins,Alpha-defensins,,,,
M1_string_211,R-HSA-909733,Immune System,Cytokine Signaling in Immune system,Interferon Signaling,Interferon alpha/beta signaling,,,,,
M1_string_214,R-HSA-774815,Cell Cycle,Chromosome Maintenance,Nucleosome assembly,,,,,,
M1_string_216,R-HSA-70268,Metabolism,Aerobic respiration and respiratory electron transport,Pyruvate metabolism,,,,,,
M1_string_218,R-HSA-167060,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by NTRKs,Expression and Processing of Neurotrophins,NGF processing,,,,
M1_string_219,R-HSA-389661,Metabolism,Metabolism of amino acids and derivatives,Glyoxylate metabolism and glycine degradation,,,,,,
M1_string_221,R-HSA-5250968,Disease,Infectious disease,Bacterial Infection Pathways,Uptake and actions of bacterial toxins,Neurotoxicity of clostridium toxins,Toxicity of botulinum toxin type A (botA),,,
M1_string_223,R-HSA-1474228,Extracellular matrix organization,Degradation of the extracellular matrix,,,,,,,
M1_string_225,R-HSA-445355,Muscle contraction,Smooth Muscle Contraction,,,,,,,
M1_string_226,R-HSA-380108,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Chemokine receptors bind chemokines,,,
M1_string_230,R-HSA-72731,Metabolism of proteins,Translation,Eukaryotic Translation Initiation,Cap-dependent Translation Initiation,Recycling of eIF2:GDP,,,,
M1_string_236,R-HSA-373080,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class B/2 (Secretin family receptors),,,,,
M1_string_238,R-HSA-5673001,Signal Transduction,MAPK family signaling cascades,MAPK1/MAPK3 signaling,RAF/MAP kinase cascade,,,,,
M1_string_240,R-HSA-499943,Metabolism,Metabolism of nucleotides,Interconversion of nucleotide di- and triphosphates,,,,,,
M1_string_242,R-HSA-420597,Cell-Cell communication,Cell junction organization,Cell-cell junction organization,Adherens junctions interactions,Nectin/Necl  trans heterodimerization,,,,
M1_string_243,R-HSA-2468052,Cell Cycle,"Cell Cycle, Mitotic",S Phase,Establishment of Sister Chromatid Cohesion,,,,,
M1_string_244,R-HSA-73843,Metabolism,Metabolism of carbohydrates,Pentose phosphate pathway,5-Phosphoribose 1-diphosphate biosynthesis,,,,,
M1_string_247,R-HSA-375276,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,,,,
M1_string_248,R-HSA-5649702,DNA Repair,Base Excision Repair,Resolution of Abasic Sites (AP sites),APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,,,,,
M1_string_249,R-HSA-982772,Immune System,Cytokine Signaling in Immune system,Growth hormone receptor signaling,,,,,,
M1_string_250,R-HSA-373076,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),,,,,
M1_string_251,R-HSA-8949664,Transport of small molecules,Mitochondrial calcium ion transport,Processing of SMDT1,,,,,,
M1_string_252,R-HSA-193634,Signal Transduction,Death Receptor Signaling,p75 NTR receptor-mediated signalling,p75NTR regulates axonogenesis,Axonal growth inhibition (RHOA activation),,,,
M1_string_253,R-HSA-3322077,Metabolism,Metabolism of carbohydrates,Glycogen metabolism,Glycogen synthesis,,,,,
M1_string_254,R-HSA-189200,Transport of small molecules,SLC-mediated transmembrane transport,Cellular hexose transport,,,,,,
M1_string_255,R-HSA-6803157,Immune System,Innate Immune System,Antimicrobial peptides,,,,,,
M1_string_256,R-HSA-8849932,Neuronal System,Protein-protein interactions at synapses,Synaptic adhesion-like molecules,,,,,,
M1_string_257,R-HSA-425393,Transport of small molecules,SLC-mediated transmembrane transport,Transport of inorganic cations/anions and amino acids/oligopeptides,,,,,,
M1_string_258,R-HSA-445095,Developmental Biology,Nervous system development,Axon guidance,L1CAM interactions,Interaction between L1 and Ankyrins,,,,
M1_string_259,R-HSA-450321,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-17 signaling,MAP kinase activation,JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1,,,
M1_string_261,R-HSA-9629569,Metabolism of proteins,Post-translational protein modification,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",Protein hydroxylation,,,,,
M1_string_267,R-HSA-70221,Metabolism,Metabolism of carbohydrates,Glycogen metabolism,Glycogen breakdown (glycogenolysis),,,,,
M1_string_270,R-HSA-6802953,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Oncogenic MAPK signaling,RAS signaling downstream of NF1 loss-of-function variants,,,,,
M1_string_271,R-HSA-163560,Metabolism,Metabolism of lipids,Triglyceride metabolism,Triglyceride catabolism,,,,,
M1_string_272,R-HSA-3214841,Chromatin organization,Chromatin modifying enzymes,PKMTs methylate histone lysines,,,,,,
M1_string_273,R-HSA-350054,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Notch-HLH transcription pathway,,,,,
M1_string_274,R-HSA-8853659,Developmental Biology,Nervous system development,Axon guidance,RET signaling,,,,,
M1_string_279,R-HSA-375281,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Hormone ligand-binding receptors,,,,
M1_string_280,R-HSA-163765,Metabolism,Integration of energy metabolism,ChREBP activates metabolic gene expression,,,,,,
M1_string_281,R-HSA-9840309,Metabolism,Metabolism of lipids,Sphingolipid metabolism,Glycosphingolipid metabolism,Glycosphingolipid biosynthesis,,,,
M1_string_282,R-HSA-5689880,Metabolism of proteins,Post-translational protein modification,Deubiquitination,Ub-specific processing proteases,,,,,
M1_string_287,R-HSA-1296346,Neuronal System,Potassium Channels,Tandem pore domain potassium channels,,,,,,
M1_string_289,R-HSA-1660661,Metabolism,Metabolism of lipids,Sphingolipid metabolism,Sphingolipid de novo biosynthesis,,,,,
M1_string_290,R-HSA-9758881,Metabolism,Metabolism of vitamins and cofactors,Metabolism of water-soluble vitamins and cofactors,"Cobalamin (Cbl, vitamin B12) transport and metabolism",Uptake of dietary cobalamins into enterocytes,,,,
M1_string_292,R-HSA-3299685,Cellular responses to stimuli,Cellular responses to stress,Cellular response to chemical stress,Detoxification of Reactive Oxygen Species,,,,,
M1_string_293,R-HSA-5620912,Organelle biogenesis and maintenance,Cilium Assembly,Anchoring of the basal body to the plasma membrane,,,,,,
M1_string_294,R-HSA-5635838,Signal Transduction,Signaling by Hedgehog,Hedgehog 'on' state,Activation of SMO,,,,,
M1_string_296,R-HSA-140342,Programmed Cell Death,Apoptosis,Apoptotic execution phase,Apoptosis induced DNA fragmentation,,,,,
M1_string_302,R-HSA-8866907,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,Activation of the TFAP2 (AP-2) family of transcription factors,,,,
M1_string_305,R-HSA-2514853,Cell Cycle,"Cell Cycle, Mitotic",M Phase,Mitotic Prometaphase,Condensation of Prometaphase Chromosomes,,,,
M1_string_306,R-HSA-2022870,Metabolism,Metabolism of carbohydrates,Glycosaminoglycan metabolism,Chondroitin sulfate/dermatan sulfate metabolism,Chondroitin sulfate biosynthesis,,,,
M1_string_308,R-HSA-5223345,Transport of small molecules,Miscellaneous transport and binding events,,,,,,,
M1_string_312,R-HSA-202433,Immune System,Adaptive Immune System,TCR signaling,Generation of second messenger molecules,,,,,
M1_string_313,R-HSA-2129379,Extracellular matrix organization,Elastic fibre formation,Molecules associated with elastic fibres,,,,,,
M1_string_314,R-HSA-198933,Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,,,,,,
M1_string_317,R-HSA-196783,Metabolism,Metabolism of vitamins and cofactors,Metabolism of water-soluble vitamins and cofactors,Vitamin B5 (pantothenate) metabolism,Coenzyme A biosynthesis,,,,
M1_string_318,R-HSA-1362300,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G1 phase and G1/S transition,G0 and Early G1,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,,,,
M1_string_320,R-HSA-351202,Metabolism,Metabolism of amino acids and derivatives,Metabolism of polyamines,,,,,,
M1_string_328,R-HSA-3000480,Vesicle-mediated transport,Binding and Uptake of Ligands by Scavenger Receptors,Scavenging by Class A Receptors,,,,,,
M1_string_329,R-HSA-5688890,Disease,Diseases of metabolism,Diseases associated with surfactant metabolism,Defective CSF2RA causes SMDP4,,,,,
M1_string_330,R-HSA-70263,Metabolism,Metabolism of carbohydrates,Glucose metabolism,Gluconeogenesis,,,,,
M1_string_331,R-HSA-5576890,Muscle contraction,Cardiac conduction,Phase 3 - rapid repolarisation,,,,,,
M1_string_333,R-HSA-381426,Metabolism of proteins,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,,,,,,
M1_string_334,R-HSA-383280,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Nuclear Receptor transcription pathway,,,,,
M1_string_335,R-HSA-71384,Metabolism,Biological oxidations,Phase I - Functionalization of compounds,Ethanol oxidation,,,,,
M1_string_338,R-HSA-444821,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Relaxin receptors,,,
M1_string_341,R-HSA-4341670,Disease,Diseases of metabolism,Diseases of glycosylation,Diseases associated with N-glycosylation of proteins,Defective NEU1 causes sialidosis,,,,
M1_string_342,R-HSA-9013148,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,CDC42 GTPase cycle,,,,
M1_string_345,R-HSA-139853,Hemostasis,Platelet homeostasis,Platelet calcium homeostasis,Elevation of cytosolic Ca2+ levels,,,,,
M1_string_347,R-HSA-2453902,Sensory Perception,Visual phototransduction,The canonical retinoid cycle in rods (twilight vision),,,,,,
M1_string_350,R-HSA-420092,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class B/2 (Secretin family receptors),Glucagon-type ligand receptors,,,,
M1_string_358,R-HSA-72200,Metabolism of RNA,mRNA Editing,mRNA Editing: C to U Conversion,,,,,,
M1_string_362,R-HSA-380259,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G2-G2/M phases,G2/M Transition,Centrosome maturation,Loss of proteins required for interphase microtubule organization from the centrosome,Loss of Nlp from mitotic centrosomes,,
M1_string_363,R-HSA-69236,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G1 phase and G1/S transition,G1 Phase,,,,,
M1_string_364,R-HSA-442720,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,Activation of NMDA receptors and postsynaptic events,Post NMDA receptor activation events,CREB1 phosphorylation through the activation of Adenylate Cyclase,,,
M1_string_365,R-HSA-5668599,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases Activate NADPH Oxidases,,,,
M1_string_366,R-HSA-73863,Gene expression (Transcription),RNA Polymerase I Transcription,RNA Polymerase I Transcription Termination,,,,,,
M1_string_367,R-HSA-5578775,Muscle contraction,Cardiac conduction,Ion homeostasis,,,,,,
M1_string_368,R-HSA-8957275,Metabolism of proteins,Post-translational protein modification,Post-translational protein phosphorylation,,,,,,
M1_string_369,R-HSA-3295583,Transport of small molecules,Ion channel transport,Stimuli-sensing channels,TRP channels,,,,,
M1_string_371,R-HSA-380095,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Tachykinin receptors bind tachykinins,,,
M1_string_377,R-HSA-9012546,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-1 family signaling,Interleukin-18 signaling,,,,
M1_string_378,R-HSA-425986,Transport of small molecules,SLC-mediated transmembrane transport,Transport of inorganic cations/anions and amino acids/oligopeptides,Sodium/Proton exchangers,,,,,
M1_string_379,R-HSA-71262,Metabolism,Metabolism of amino acids and derivatives,Carnitine synthesis,,,,,,
M1_string_380,R-HSA-1296061,Neuronal System,Potassium Channels,HCN channels,,,,,,
M1_string_382,R-HSA-1475029,Metabolism,Reversible hydration of carbon dioxide,,,,,,,
M1_string_383,R-HSA-390651,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Amine ligand-binding receptors,Dopamine receptors,,,
M1_string_384,R-HSA-5626467,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases activate IQGAPs,,,,
M1_string_385,R-HSA-418890,Developmental Biology,Nervous system development,Axon guidance,Netrin-1 signaling,Role of second messengers in netrin-1 signaling,,,,
M1_string_387,R-HSA-448424,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-17 signaling,,,,,
M1_string_392,R-HSA-500792,Signal Transduction,Signaling by GPCR,GPCR ligand binding,,,,,,
M1_string_393,R-HSA-1614603,Metabolism,Metabolism of amino acids and derivatives,Sulfur amino acid metabolism,Cysteine formation from homocysteine,,,,,
M1_string_395,R-HSA-5221030,Gene expression (Transcription),Epigenetic regulation of gene expression,"TET1,2,3 and TDG demethylate DNA",,,,,,
M1_string_397,R-HSA-5669034,Immune System,Cytokine Signaling in Immune system,TNFR2 non-canonical NF-kB pathway,TNFs bind their physiological receptors,,,,,
M1_string_398,R-HSA-400511,Metabolism of proteins,Peptide hormone metabolism,"Incretin synthesis, secretion, and inactivation","Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",,,,,
M1_string_404,R-HSA-5676934,Metabolism of proteins,Protein repair,,,,,,,
M1_string_406,R-HSA-5693565,DNA Repair,DNA Double-Strand Break Repair,DNA Double Strand Break Response,Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks,,,,,
M1_string_408,R-HSA-191859,Metabolism of RNA,Metabolism of non-coding RNA,snRNP Assembly,,,,,,
M1_string_412,R-HSA-8874081,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by MET,MET promotes cell motility,MET activates PTK2 signaling,,,,
M1_string_416,R-HSA-5683826,Metabolism of proteins,Surfactant metabolism,,,,,,,
M1_string_419,R-HSA-2453902,Sensory Perception,Visual phototransduction,The canonical retinoid cycle in rods (twilight vision),,,,,,
M1_string_423,R-HSA-2672351,Transport of small molecules,Ion channel transport,Stimuli-sensing channels,,,,,,
M1_string_425,R-HSA-69205,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G1 phase and G1/S transition,G1/S Transition,G1/S-Specific Transcription,,,,
M1_string_433,R-HSA-6804757,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional Regulation by TP53,Regulation of TP53 Activity,Regulation of TP53 Expression and Degradation,Regulation of TP53 Degradation,,
M1_string_434,R-HSA-156842,Metabolism of proteins,Translation,Eukaryotic Translation Elongation,,,,,,
M1_string_435,R-HSA-9755779,Disease,Infectious disease,Viral Infection Pathways,SARS-CoV Infections,SARS-CoV-2 Infection,SARS-CoV-2-host interactions,SARS-CoV-2 targets host intracellular signalling and regulatory pathways,,
M1_string_436,R-HSA-9013407,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase cycle,RHOH GTPase cycle,,,,
M1_string_437,R-HSA-3000157,Extracellular matrix organization,Laminin interactions,,,,,,,
