module,KEGG_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway
M1_string_43,hsa04530,Cellular Processes,Cellular community - eukaryotes,Tight junction
M1_string_44,hsa04960,Organismal Systems,Excretory system,Aldosterone-regulated sodium reabsorption
M1_string_46,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
M1_string_47,hsa04130,Genetic Information Processing,"Folding, sorting and degradation",SNARE interactions in vesicular transport
M1_string_48,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
M1_string_49,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
M1_string_50,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
M1_string_51,hsa05032,Human Diseases,Substance dependence,Morphine addiction
M1_string_52,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
M1_string_55,hsa00480,Metabolism,Metabolism of other amino acids,Glutathione metabolism
M1_string_56,hsa04620,Organismal Systems,Immune system,Toll-like receptor signaling pathway
M1_string_57,hsa05030,Human Diseases,Substance dependence,Cocaine addiction
M1_string_58,hsa04010,Environmental Information Processing,Signal transduction,MAPK signaling pathway
M1_string_62,hsa04612,Organismal Systems,Immune system,Antigen processing and presentation
M1_string_63,hsa04540,Cellular Processes,Cellular community - eukaryotes,Gap junction
M1_string_64,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
M1_string_66,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
M1_string_67,hsa04210,Cellular Processes,Cell growth and death,Apoptosis
M1_string_69,hsa04260,Organismal Systems,Circulatory system,Cardiac muscle contraction
M1_string_71,hsa04146,Cellular Processes,Transport and catabolism,Peroxisome
M1_string_72,hsa04710,Organismal Systems,Environmental adaptation,Circadian rhythm
M1_string_75,hsa04115,Cellular Processes,Cell growth and death,p53 signaling pathway
M1_string_76,hsa01200,,,Carbon metabolism
M1_string_77,hsa04150,Environmental Information Processing,Signal transduction,mTOR signaling pathway
M1_string_79,hsa04621,Organismal Systems,Immune system,NOD-like receptor signaling pathway
M1_string_80,hsa05218,Human Diseases,Cancer: specific types,Melanoma
M1_string_81,hsa05412,Human Diseases,Cardiovascular disease,Arrhythmogenic right ventricular cardiomyopathy
M1_string_86,hsa04611,Organismal Systems,Immune system,Platelet activation
M1_string_87,hsa01232,,,Nucleotide metabolism
M1_string_88,hsa04350,Environmental Information Processing,Signal transduction,TGF-beta signaling pathway
M1_string_90,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
M1_string_92,hsa00500,Metabolism,Carbohydrate metabolism,Starch and sucrose metabolism
M1_string_98,hsa00062,Metabolism,Lipid metabolism,Fatty acid elongation
M1_string_99,hsa04622,Organismal Systems,Immune system,RIG-I-like receptor signaling pathway
M1_string_103,hsa00533,Metabolism,Glycan biosynthesis and metabolism,Glycosaminoglycan biosynthesis - keratan sulfate
M1_string_104,hsa04814,Cellular Processes,Cell motility,Motor proteins
M1_string_105,hsa04814,Cellular Processes,Cell motility,Motor proteins
M1_string_106,hsa03018,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
M1_string_107,hsa04310,Environmental Information Processing,Signal transduction,Wnt signaling pathway
M1_string_111,hsa04974,Organismal Systems,Digestive system,Protein digestion and absorption
M1_string_113,hsa05100,Human Diseases,Infectious disease: bacterial,Bacterial invasion of epithelial cells
M1_string_115,hsa04966,Organismal Systems,Excretory system,Collecting duct acid secretion
M1_string_117,hsa00630,Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
M1_string_120,hsa04921,Organismal Systems,Endocrine system,Oxytocin signaling pathway
M1_string_121,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
M1_string_122,hsa03440,Genetic Information Processing,Replication and repair,Homologous recombination
M1_string_123,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
M1_string_124,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
M1_string_125,hsa00020,Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle)
M1_string_126,hsa03450,Genetic Information Processing,Replication and repair,Non-homologous end-joining
M1_string_127,hsa04659,Organismal Systems,Immune system,Th17 cell differentiation
M1_string_128,hsa04662,Organismal Systems,Immune system,B cell receptor signaling pathway
M1_string_129,hsa05130,Human Diseases,Infectious disease: bacterial,Pathogenic Escherichia coli infection
M1_string_130,hsa03020,Genetic Information Processing,Transcription,RNA polymerase
M1_string_132,hsa04146,Cellular Processes,Transport and catabolism,Peroxisome
M1_string_133,hsa00531,Metabolism,Glycan biosynthesis and metabolism,Glycosaminoglycan degradation
M1_string_136,hsa03022,Genetic Information Processing,Transcription,Basal transcription factors
M1_string_137,hsa04962,Organismal Systems,Excretory system,Vasopressin-regulated water reabsorption
M1_string_138,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
M1_string_141,hsa04814,Cellular Processes,Cell motility,Motor proteins
M1_string_142,hsa04064,Environmental Information Processing,Signal transduction,NF-kappa B signaling pathway
M1_string_143,hsa05033,Human Diseases,Substance dependence,Nicotine addiction
M1_string_145,hsa04330,Environmental Information Processing,Signal transduction,Notch signaling pathway
M1_string_146,hsa03010,Genetic Information Processing,Translation,Ribosome
M1_string_147,hsa04730,Organismal Systems,Nervous system,Long-term depression
M1_string_151,hsa00520,Metabolism,Glycan biosynthesis and metabolism,Amino sugar and nucleotide sugar metabolism
M1_string_154,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
M1_string_156,hsa03018,Genetic Information Processing,"Folding, sorting and degradation",RNA degradation
M1_string_161,hsa00600,Metabolism,Lipid metabolism,Sphingolipid metabolism
M1_string_162,hsa05202,Human Diseases,Cancer: overview,Transcriptional misregulation in cancer
M1_string_164,hsa04510,Cellular Processes,Cellular community - eukaryotes,Focal adhesion
M1_string_165,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
M1_string_167,hsa04310,Environmental Information Processing,Signal transduction,Wnt signaling pathway
M1_string_170,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
M1_string_172,hsa04710,Organismal Systems,Environmental adaptation,Circadian rhythm
M1_string_173,hsa04350,Environmental Information Processing,Signal transduction,TGF-beta signaling pathway
M1_string_175,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
M1_string_176,hsa00512,Metabolism,Glycan biosynthesis and metabolism,Mucin type O-glycan biosynthesis
M1_string_177,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
M1_string_179,hsa00100,Metabolism,Lipid metabolism,Steroid biosynthesis
M1_string_180,hsa03264,Genetic Information Processing,Information processing in viruses,Virion - Flavivirus and Alphavirus
M1_string_181,hsa03030,Genetic Information Processing,Replication and repair,DNA replication
M1_string_182,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
M1_string_184,hsa04350,Environmental Information Processing,Signal transduction,TGF-beta signaling pathway
M1_string_185,hsa00563,Metabolism,Glycan biosynthesis and metabolism,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
M1_string_189,hsa00563,Metabolism,Glycan biosynthesis and metabolism,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
M1_string_190,hsa04721,Organismal Systems,Nervous system,Synaptic vesicle cycle
M1_string_191,hsa05020,Human Diseases,Neurodegenerative disease,Prion disease
M1_string_193,hsa04724,Organismal Systems,Nervous system,Glutamatergic synapse
M1_string_195,hsa00270,Metabolism,Amino acid metabolism,Cysteine and methionine metabolism
M1_string_196,hsa03008,Genetic Information Processing,Translation,Ribosome biogenesis in eukaryotes
M1_string_199,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
M1_string_200,hsa04310,Environmental Information Processing,Signal transduction,Wnt signaling pathway
M1_string_202,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
M1_string_204,hsa00061,Metabolism,Lipid metabolism,Fatty acid biosynthesis
M1_string_205,hsa04012,Environmental Information Processing,Signal transduction,ErbB signaling pathway
M1_string_209,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
M1_string_210,hsa05150,Human Diseases,Infectious disease: bacterial,Staphylococcus aureus infection
M1_string_216,hsa00270,Metabolism,Amino acid metabolism,Cysteine and methionine metabolism
M1_string_217,hsa04650,Organismal Systems,Immune system,Natural killer cell mediated cytotoxicity
M1_string_219,hsa00785,Metabolism,Metabolism of cofactors and vitamins,Lipoic acid metabolism
M1_string_225,hsa04814,Cellular Processes,Cell motility,Motor proteins
M1_string_226,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
M1_string_229,hsa04978,Organismal Systems,Digestive system,Mineral absorption
M1_string_231,hsa04520,Cellular Processes,Cellular community - eukaryotes,Adherens junction
M1_string_236,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
M1_string_237,hsa05340,Human Diseases,Immune disease,Primary immunodeficiency
M1_string_238,hsa04014,Environmental Information Processing,Signal transduction,Ras signaling pathway
M1_string_240,hsa00240,Metabolism,Nucleotide metabolism,Pyrimidine metabolism
M1_string_242,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
M1_string_247,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
M1_string_248,hsa03410,Genetic Information Processing,Replication and repair,Base excision repair
M1_string_249,hsa04917,Organismal Systems,Endocrine system,Prolactin signaling pathway
M1_string_250,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
M1_string_254,hsa04750,Organismal Systems,Sensory system,Inflammatory mediator regulation of TRP channels
M1_string_259,hsa04010,Environmental Information Processing,Signal transduction,MAPK signaling pathway
M1_string_271,hsa04923,Organismal Systems,Endocrine system,Regulation of lipolysis in adipocytes
M1_string_273,hsa05203,Human Diseases,Cancer: overview,Viral carcinogenesis
M1_string_275,hsa05416,Human Diseases,Cardiovascular disease,Viral myocarditis
M1_string_276,hsa00670,Metabolism,Metabolism of cofactors and vitamins,One carbon pool by folate
M1_string_279,hsa04024,Environmental Information Processing,Signal transduction,cAMP signaling pathway
M1_string_294,hsa04340,Environmental Information Processing,Signal transduction,Hedgehog signaling pathway
M1_string_306,hsa00532,Metabolism,Glycan biosynthesis and metabolism,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
M1_string_312,hsa04510,Cellular Processes,Cellular community - eukaryotes,Focal adhesion
M1_string_326,hsa00600,Metabolism,Lipid metabolism,Sphingolipid metabolism
M1_string_334,hsa03320,Organismal Systems,Endocrine system,PPAR signaling pathway
M1_string_335,hsa00620,Metabolism,Carbohydrate metabolism,Pyruvate metabolism
M1_string_336,hsa04972,Organismal Systems,Digestive system,Pancreatic secretion
M1_string_338,hsa04926,Organismal Systems,Endocrine system,Relaxin signaling pathway
M1_string_341,hsa00600,Metabolism,Lipid metabolism,Sphingolipid metabolism
M1_string_345,hsa04020,Environmental Information Processing,Signal transduction,Calcium signaling pathway
M1_string_346,hsa02010,Environmental Information Processing,Membrane transport,ABC transporters
M1_string_347,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
M1_string_351,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
M1_string_363,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
M1_string_364,hsa04910,Organismal Systems,Endocrine system,Insulin signaling pathway
M1_string_367,hsa04020,Environmental Information Processing,Signal transduction,Calcium signaling pathway
M1_string_369,hsa04750,Organismal Systems,Sensory system,Inflammatory mediator regulation of TRP channels
M1_string_371,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
M1_string_381,hsa00534,Metabolism,Glycan biosynthesis and metabolism,Glycosaminoglycan biosynthesis - heparan sulfate / heparin
M1_string_382,hsa00910,Metabolism,Energy metabolism,Nitrogen metabolism
M1_string_383,hsa04080,Environmental Information Processing,Signaling molecules and interaction,Neuroactive ligand-receptor interaction
M1_string_384,hsa04371,Environmental Information Processing,Signal transduction,Apelin signaling pathway
M1_string_387,hsa04657,Organismal Systems,Immune system,IL-17 signaling pathway
M1_string_398,hsa03060,Genetic Information Processing,"Folding, sorting and degradation",Protein export
M1_string_411,hsa03420,Genetic Information Processing,Replication and repair,Nucleotide excision repair
M1_string_419,hsa04977,Organismal Systems,Digestive system,Vitamin digestion and absorption
M1_string_420,hsa00532,Metabolism,Glycan biosynthesis and metabolism,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
M1_string_425,hsa01523,Human Diseases,Drug resistance: antineoplastic,Antifolate resistance
M1_string_433,hsa04115,Cellular Processes,Cell growth and death,p53 signaling pathway
M1_string_435,hsa04213,Organismal Systems,Aging,Longevity regulating pathway - multiple species
M1_string_437,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
M1_string_440,hsa00515,Metabolism,Glycan biosynthesis and metabolism,Mannose type O-glycan biosynthesis
M1_string_448,hsa04920,Organismal Systems,Endocrine system,Adipocytokine signaling pathway
M1_string_455,hsa00515,Metabolism,Glycan biosynthesis and metabolism,Mannose type O-glycan biosynthesis
M1_string_459,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
M1_string_462,hsa00310,Metabolism,Amino acid metabolism,Lysine degradation
M1_string_464,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
M1_string_475,hsa04744,Organismal Systems,Sensory system,Phototransduction
M1_string_476,hsa00220,Metabolism,Amino acid metabolism,Arginine biosynthesis
M1_string_477,hsa04122,Genetic Information Processing,"Folding, sorting and degradation",Sulfur relay system
M1_string_478,hsa02010,Environmental Information Processing,Membrane transport,ABC transporters
M1_string_480,hsa00515,Metabolism,Glycan biosynthesis and metabolism,Mannose type O-glycan biosynthesis
M1_string_485,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
M1_string_486,hsa04270,Organismal Systems,Circulatory system,Vascular smooth muscle contraction
M1_string_491,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
M1_string_492,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
M1_string_495,hsa04722,Organismal Systems,Nervous system,Neurotrophin signaling pathway
M1_string_505,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
M1_string_507,hsa03030,Genetic Information Processing,Replication and repair,DNA replication
M1_string_511,hsa00604,Metabolism,Glycan biosynthesis and metabolism,Glycosphingolipid biosynthesis - ganglio series
M1_string_513,hsa00860,Metabolism,Metabolism of cofactors and vitamins,Porphyrin metabolism
M1_string_514,hsa00790,Metabolism,Metabolism of cofactors and vitamins,Folate biosynthesis
M1_string_520,hsa00430,Metabolism,Metabolism of other amino acids,Taurine and hypotaurine metabolism
M1_string_527,hsa04270,Organismal Systems,Circulatory system,Vascular smooth muscle contraction
M1_string_530,hsa04720,Organismal Systems,Nervous system,Long-term potentiation
M1_string_531,hsa00052,Metabolism,Carbohydrate metabolism,Galactose metabolism
M1_string_545,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
M1_string_546,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
M1_string_547,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
M1_string_548,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
M1_string_551,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
M1_string_568,hsa04722,Organismal Systems,Nervous system,Neurotrophin signaling pathway
M1_string_571,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
M1_string_573,hsa05219,Human Diseases,Cancer: specific types,Bladder cancer
M1_string_600,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
M1_string_611,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
M1_string_612,hsa00830,Metabolism,Metabolism of cofactors and vitamins,Retinol metabolism
M1_string_616,hsa04640,Organismal Systems,Immune system,Hematopoietic cell lineage
M1_string_625,hsa00730,Metabolism,Metabolism of cofactors and vitamins,Thiamine metabolism
M1_string_636,hsa03410,Genetic Information Processing,Replication and repair,Base excision repair
M1_string_638,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
M1_string_646,hsa01232,,,Nucleotide metabolism
M1_string_654,hsa04911,Organismal Systems,Endocrine system,Insulin secretion
M1_string_657,hsa00533,Metabolism,Glycan biosynthesis and metabolism,Glycosaminoglycan biosynthesis - keratan sulfate
M1_string_696,hsa04924,Organismal Systems,Endocrine system,Renin secretion
M1_string_701,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
M1_string_745,hsa00970,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
R1_cpdb_3,hsa00280,Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation"
R1_cpdb_4,hsa03420,Genetic Information Processing,Replication and repair,Nucleotide excision repair
R1_cpdb_5,hsa03022,Genetic Information Processing,Transcription,Basal transcription factors
R1_cpdb_7,hsa05217,Human Diseases,Cancer: specific types,Basal cell carcinoma
R1_cpdb_9,hsa05220,Human Diseases,Cancer: specific types,Chronic myeloid leukemia
R1_cpdb_10,hsa05418,Human Diseases,Cardiovascular disease,Fluid shear stress and atherosclerosis
R1_cpdb_11,hsa04630,Environmental Information Processing,Signal transduction,JAK-STAT signaling pathway
R1_cpdb_13,hsa04744,Organismal Systems,Sensory system,Phototransduction
R1_cpdb_15,hsa03450,Genetic Information Processing,Replication and repair,Non-homologous end-joining
R1_cpdb_17,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
R1_cpdb_19,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
R1_cpdb_20,hsa03440,Genetic Information Processing,Replication and repair,Homologous recombination
R1_cpdb_21,hsa05134,Human Diseases,Infectious disease: bacterial,Legionellosis
R1_cpdb_23,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
R1_cpdb_24,hsa04110,Cellular Processes,Cell growth and death,Cell cycle
R1_cpdb_26,hsa03460,Genetic Information Processing,Replication and repair,Fanconi anemia pathway
R1_cpdb_27,hsa03410,Genetic Information Processing,Replication and repair,Base excision repair
R1_cpdb_29,hsa00524,Metabolism,Biosynthesis of other secondary metabolites,"Neomycin, kanamycin and gentamicin biosynthesis"
R1_cpdb_30,hsa03015,Genetic Information Processing,Translation,mRNA surveillance pathway
R1_cpdb_31,hsa04390,Environmental Information Processing,Signal transduction,Hippo signaling pathway
R1_cpdb_33,hsa03040,Genetic Information Processing,Transcription,Spliceosome
R1_cpdb_34,hsa04350,Environmental Information Processing,Signal transduction,TGF-beta signaling pathway
R1_cpdb_36,hsa04151,Environmental Information Processing,Signal transduction,PI3K-Akt signaling pathway
R1_cpdb_37,hsa04350,Environmental Information Processing,Signal transduction,TGF-beta signaling pathway
R1_cpdb_38,hsa04215,Cellular Processes,Cell growth and death,Apoptosis - multiple species
R1_cpdb_41,hsa05417,Human Diseases,Cardiovascular disease,Lipid and atherosclerosis
R1_cpdb_42,hsa04072,Environmental Information Processing,Signal transduction,Phospholipase D signaling pathway
R1_cpdb_43,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
R1_cpdb_45,hsa05202,Human Diseases,Cancer: overview,Transcriptional misregulation in cancer
R1_cpdb_46,hsa04140,Cellular Processes,Transport and catabolism,Autophagy - animal
R1_cpdb_49,hsa03430,Genetic Information Processing,Replication and repair,Mismatch repair
R1_cpdb_50,hsa00053,Metabolism,Carbohydrate metabolism,Ascorbate and aldarate metabolism
R1_cpdb_53,hsa03083,Genetic Information Processing,Chromosome,Polycomb repressive complex
R1_cpdb_55,hsa05217,Human Diseases,Cancer: specific types,Basal cell carcinoma
R1_cpdb_57,hsa04115,Cellular Processes,Cell growth and death,p53 signaling pathway
R1_cpdb_60,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
R1_cpdb_61,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
R1_cpdb_62,hsa05164,Human Diseases,Infectious disease: viral,Influenza A
R1_cpdb_64,hsa04218,Cellular Processes,Cell growth and death,Cellular senescence
R1_cpdb_65,hsa00020,Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle)
R1_cpdb_66,hsa03050,Genetic Information Processing,"Folding, sorting and degradation",Proteasome
R1_cpdb_67,hsa00280,Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation"
R1_cpdb_68,hsa04068,Environmental Information Processing,Signal transduction,FoxO signaling pathway
R1_cpdb_70,hsa03250,Genetic Information Processing,Information processing in viruses,Viral life cycle - HIV-1
R1_cpdb_71,hsa05211,Human Diseases,Cancer: specific types,Renal cell carcinoma
R1_cpdb_74,hsa04966,Organismal Systems,Excretory system,Collecting duct acid secretion
R1_cpdb_75,hsa05033,Human Diseases,Substance dependence,Nicotine addiction
R1_cpdb_76,hsa05322,Human Diseases,Immune disease,Systemic lupus erythematosus
R1_cpdb_77,hsa04064,Environmental Information Processing,Signal transduction,NF-kappa B signaling pathway
R1_cpdb_79,hsa04210,Cellular Processes,Cell growth and death,Apoptosis
R1_cpdb_80,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
R1_cpdb_83,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
R1_cpdb_85,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
R1_cpdb_86,hsa04061,Environmental Information Processing,Signaling molecules and interaction,Viral protein interaction with cytokine and cytokine receptor
R1_cpdb_87,hsa05150,Human Diseases,Infectious disease: bacterial,Staphylococcus aureus infection
R1_cpdb_88,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
R1_cpdb_90,hsa04137,Cellular Processes,Transport and catabolism,Mitophagy - animal
R1_cpdb_92,hsa00531,Metabolism,Glycan biosynthesis and metabolism,Glycosaminoglycan degradation
R1_cpdb_95,hsa03013,Genetic Information Processing,Translation,Nucleocytoplasmic transport
R1_cpdb_97,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
R1_cpdb_98,hsa04640,Organismal Systems,Immune system,Hematopoietic cell lineage
R1_cpdb_100,hsa04620,Organismal Systems,Immune system,Toll-like receptor signaling pathway
R1_cpdb_103,hsa00020,Metabolism,Carbohydrate metabolism,Citrate cycle (TCA cycle)
R1_cpdb_104,hsa04146,Cellular Processes,Transport and catabolism,Peroxisome
R1_cpdb_105,hsa00510,Metabolism,Glycan biosynthesis and metabolism,N-Glycan biosynthesis
R1_cpdb_106,hsa04020,Environmental Information Processing,Signal transduction,Calcium signaling pathway
R1_cpdb_107,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
R1_cpdb_108,hsa04010,Environmental Information Processing,Signal transduction,MAPK signaling pathway
R1_cpdb_109,hsa05100,Human Diseases,Infectious disease: bacterial,Bacterial invasion of epithelial cells
R1_cpdb_110,hsa04120,Genetic Information Processing,"Folding, sorting and degradation",Ubiquitin mediated proteolysis
R1_cpdb_111,hsa04810,Cellular Processes,Cell motility,Regulation of actin cytoskeleton
R1_cpdb_112,hsa00563,Metabolism,Glycan biosynthesis and metabolism,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
R1_cpdb_113,hsa04810,Cellular Processes,Cell motility,Regulation of actin cytoskeleton
R1_cpdb_114,hsa05340,Human Diseases,Immune disease,Primary immunodeficiency
R1_cpdb_115,hsa05412,Human Diseases,Cardiovascular disease,Arrhythmogenic right ventricular cardiomyopathy
R1_cpdb_119,hsa04514,Environmental Information Processing,Signaling molecules and interaction,Cell adhesion molecules
R1_cpdb_121,hsa04360,Organismal Systems,Development and regeneration,Axon guidance
R1_cpdb_122,hsa00480,Metabolism,Metabolism of other amino acids,Glutathione metabolism
R1_cpdb_123,hsa04512,Environmental Information Processing,Signaling molecules and interaction,ECM-receptor interaction
R1_cpdb_124,hsa04610,Organismal Systems,Immune system,Complement and coagulation cascades
R1_cpdb_129,hsa04979,Organismal Systems,Digestive system,Cholesterol metabolism
R1_cpdb_130,hsa04979,Organismal Systems,Digestive system,Cholesterol metabolism
R1_cpdb_131,hsa04979,Organismal Systems,Digestive system,Cholesterol metabolism
R1_cpdb_132,hsa05033,Human Diseases,Substance dependence,Nicotine addiction
R1_cpdb_133,hsa04710,Organismal Systems,Environmental adaptation,Circadian rhythm
R1_cpdb_134,hsa04724,Organismal Systems,Nervous system,Glutamatergic synapse
R1_cpdb_135,hsa04217,Cellular Processes,Cell growth and death,Necroptosis
R1_cpdb_137,hsa00630,Metabolism,Carbohydrate metabolism,Glyoxylate and dicarboxylate metabolism
R1_cpdb_138,hsa03082,Genetic Information Processing,Chromosome,ATP-dependent chromatin remodeling
R1_cpdb_139,hsa00310,Metabolism,Amino acid metabolism,Lysine degradation
R1_cpdb_141,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
R1_cpdb_142,hsa00970,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis
R1_cpdb_143,hsa04020,Environmental Information Processing,Signal transduction,Calcium signaling pathway
R1_cpdb_144,hsa04141,Genetic Information Processing,"Folding, sorting and degradation",Protein processing in endoplasmic reticulum
R1_cpdb_145,hsa04152,Environmental Information Processing,Signal transduction,AMPK signaling pathway
R1_cpdb_146,hsa04915,Organismal Systems,Endocrine system,Estrogen signaling pathway
R1_cpdb_147,hsa05161,Human Diseases,Infectious disease: viral,Hepatitis B
R1_cpdb_149,hsa02010,Environmental Information Processing,Membrane transport,ABC transporters
R1_cpdb_150,hsa04662,Organismal Systems,Immune system,B cell receptor signaling pathway
R1_cpdb_152,hsa00600,Metabolism,Lipid metabolism,Sphingolipid metabolism
R1_cpdb_153,hsa04330,Environmental Information Processing,Signal transduction,Notch signaling pathway
R1_cpdb_154,hsa04666,Organismal Systems,Immune system,Fc gamma R-mediated phagocytosis
R1_cpdb_156,hsa04137,Cellular Processes,Transport and catabolism,Mitophagy - animal
R1_cpdb_158,hsa04130,Genetic Information Processing,"Folding, sorting and degradation",SNARE interactions in vesicular transport
R1_cpdb_161,hsa04923,Organismal Systems,Endocrine system,Regulation of lipolysis in adipocytes
R1_cpdb_163,hsa04910,Organismal Systems,Endocrine system,Insulin signaling pathway
R1_cpdb_164,hsa04340,Environmental Information Processing,Signal transduction,Hedgehog signaling pathway
R1_cpdb_165,hsa00563,Metabolism,Glycan biosynthesis and metabolism,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
R1_cpdb_166,hsa04140,Cellular Processes,Transport and catabolism,Autophagy - animal
R1_cpdb_167,hsa04714,Organismal Systems,Environmental adaptation,Thermogenesis
R1_cpdb_170,hsa04142,Cellular Processes,Transport and catabolism,Lysosome
R1_cpdb_173,hsa04670,Organismal Systems,Immune system,Leukocyte transendothelial migration
R1_cpdb_174,hsa00532,Metabolism,Glycan biosynthesis and metabolism,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
R1_cpdb_175,hsa04144,Cellular Processes,Transport and catabolism,Endocytosis
R1_cpdb_176,hsa04722,Organismal Systems,Nervous system,Neurotrophin signaling pathway
R1_cpdb_177,hsa04520,Cellular Processes,Cellular community - eukaryotes,Adherens junction
R1_cpdb_178,hsa04060,Environmental Information Processing,Signaling molecules and interaction,Cytokine-cytokine receptor interaction
R1_cpdb_179,hsa05321,Human Diseases,Immune disease,Inflammatory bowel disease
R1_cpdb_183,hsa04622,Organismal Systems,Immune system,RIG-I-like receptor signaling pathway
